residents,house_size_sqft,location_type,income_range,electricity_kwh,solar_usage,lpg_kg,induction_cooking,primary_transport,private_km_per_day,vehicle_fuel,carpool_shared,diet_type,nonveg_meals_per_week,waste_kg_per_week,recycle_compost,water_liters_per_month,monthly_co2_kg
6,796.0,Urban,₹30k–₹50k,417.76,No,5.38,No,Bicycle/Walking,0.0,None,No,Mixed,4,7.49,Yes,9907.0,550.42
3,581.0,Urban,₹15k–₹30k,330.61,No,18.55,No,Public Transport,2.0,None,No,Vegetarian,0,7.61,Yes,12614.0,451.14
1,1310.0,Urban,₹50k–₹1L,316.54,Yes,12.61,No,Two-wheeler,38.0,Petrol,No,Vegetarian,0,5.48,Yes,15009.0,496.9
3,1643.0,Semi-Urban,>₹1L,254.65,No,17.11,No,Car,52.0,Petrol,No,Mixed,2,6.78,Yes,14616.0,637.07
5,1187.0,Semi-Urban,₹15k–₹30k,363.71,No,7.93,No,Bicycle/Walking,0.0,None,No,Non-Vegetarian,6,4.43,No,18953.0,496.6
1,496.0,Rural,₹15k–₹30k,421.58,No,12.17,No,Two-wheeler,9.0,Petrol,No,Vegetarian,0,3.78,Yes,13497.0,472.58
2,487.0,Semi-Urban,₹15k–₹30k,481.28,No,7.43,No,Car,37.0,Diesel,No,Vegetarian,0,10.09,Yes,18904.0,747.46
4,1977.0,Semi-Urban,>₹1L,174.92,Yes,15.76,No,Car,48.0,Diesel,No,Vegetarian,0,8.64,Yes,12338.0,586.7
6,581.0,Semi-Urban,<₹15k,334.32,No,13.59,No,Two-wheeler,34.0,Petrol,No,Vegetarian,0,2.0,Yes,14396.0,615.28
6,1294.0,Urban,₹30k–₹50k,419.19,Yes,12.3,No,Two-wheeler,18.0,Petrol,No,Mixed,4,7.64,Yes,17120.0,600.1
5,792.0,Rural,₹30k–₹50k,213.98,No,15.65,Yes,Car,19.0,Petrol,No,Mixed,1,6.11,No,18288.0,461.24
4,1219.0,Rural,₹50k–₹1L,266.32,Yes,19.75,Yes,Public Transport,4.0,None,No,Non-Vegetarian,6,2.0,Yes,8784.0,371.74
5,1145.0,Urban,₹50k–₹1L,214.48,Yes,25.3,No,Two-wheeler,5.0,Petrol,Yes,Mixed,1,8.45,No,12290.0,396.68
5,2071.0,Urban,₹30k–₹50k,486.51,No,15.42,Yes,Two-wheeler,36.0,Petrol,Yes,Mixed,4,3.61,Yes,17254.0,716.44
3,556.0,Semi-Urban,₹50k–₹1L,393.62,Yes,16.02,Yes,Two-wheeler,5.0,Petrol,Yes,Non-Vegetarian,8,5.11,No,12028.0,449.11
5,941.0,Semi-Urban,₹30k–₹50k,377.18,No,15.29,No,Public Transport,0.0,None,No,Vegetarian,0,3.54,Yes,14340.0,492.68
5,1474.0,Rural,₹50k–₹1L,139.76,Yes,12.32,No,Two-wheeler,15.0,Petrol,No,Vegetarian,0,5.14,Yes,20684.0,332.21
2,522.0,Urban,>₹1L,455.11,No,10.65,Yes,Two-wheeler,39.0,Petrol,No,Non-Vegetarian,6,6.26,Yes,8990.0,696.58
5,1067.0,Rural,<₹15k,158.42,No,12.05,Yes,Car,36.0,Diesel,No,Vegetarian,0,7.24,No,22516.0,533.95
5,1508.0,Semi-Urban,>₹1L,238.31,Yes,8.31,No,Two-wheeler,30.0,Petrol,No,Mixed,2,6.44,Yes,9047.0,482.62
3,1118.0,Urban,<₹15k,504.57,No,14.14,No,Two-wheeler,10.0,Petrol,No,Mixed,4,9.11,Yes,22817.0,640.06
1,2049.0,Semi-Urban,₹15k–₹30k,345.75,No,10.74,No,Car,52.0,Petrol,No,Mixed,3,4.41,Yes,17903.0,639.41
4,874.0,Semi-Urban,₹30k–₹50k,222.01,No,14.52,Yes,Two-wheeler,32.0,Petrol,No,Mixed,3,2.0,Yes,21341.0,494.01
4,2189.0,Semi-Urban,₹15k–₹30k,144.04,Yes,12.2,No,Public Transport,2.0,None,Yes,Vegetarian,0,4.5,Yes,12462.0,255.64
3,1793.0,Rural,<₹15k,396.92,Yes,19.25,Yes,Two-wheeler,9.0,Petrol,No,Vegetarian,0,9.69,Yes,21084.0,472.08
6,1961.0,Rural,₹50k–₹1L,261.31,No,12.56,No,Two-wheeler,10.0,Petrol,No,Mixed,4,5.38,Yes,13444.0,484.44
6,1320.0,Semi-Urban,₹50k–₹1L,473.15,No,9.88,Yes,Two-wheeler,32.0,Petrol,No,Vegetarian,0,5.78,Yes,15010.0,725.2
5,1572.0,Urban,₹15k–₹30k,182.07,No,11.65,No,Public Transport,2.0,None,No,Mixed,1,6.25,No,13738.0,354.13
1,1939.0,Semi-Urban,>₹1L,237.74,No,12.64,Yes,Car,40.0,Petrol,No,Vegetarian,0,5.21,Yes,19439.0,488.81
6,1018.0,Urban,₹30k–₹50k,307.12,Yes,13.26,No,Public Transport,3.0,None,No,Non-Vegetarian,8,2.0,Yes,18808.0,464.72
3,977.0,Rural,₹30k–₹50k,377.57,Yes,8.22,No,Public Transport,4.0,None,Yes,Mixed,4,10.57,No,12827.0,448.13
4,1605.0,Urban,>₹1L,222.41,No,9.33,Yes,Public Transport,3.0,None,Yes,Vegetarian,0,7.8,Yes,17677.0,351.38
6,1233.0,Semi-Urban,<₹15k,336.96,Yes,9.7,No,Two-wheeler,38.0,Petrol,Yes,Vegetarian,0,5.69,Yes,15220.0,533.61
4,1899.0,Rural,<₹15k,330.3,No,21.04,No,Two-wheeler,9.0,Petrol,Yes,Vegetarian,0,8.69,No,15115.0,505.41
3,1111.0,Semi-Urban,>₹1L,299.0,Yes,10.94,No,Two-wheeler,37.0,Petrol,Yes,Vegetarian,0,9.91,Yes,17097.0,479.64
5,677.0,Semi-Urban,₹15k–₹30k,256.1,Yes,12.79,No,Car,56.0,Diesel,No,Vegetarian,0,7.92,No,9859.0,705.54
5,1024.0,Rural,₹15k–₹30k,126.3,Yes,16.45,Yes,Two-wheeler,26.0,Petrol,No,Non-Vegetarian,8,9.27,No,18897.0,484.99
1,1347.0,Semi-Urban,>₹1L,497.87,No,26.86,No,Car,39.0,Petrol,Yes,Vegetarian,0,8.54,Yes,11647.0,700.94
